submission_id,problem,tags,match_success,matched_tags,error_match,error_tags
47,581B,implementation;math,False,,False,
126,581A,implementation;math,False,,False,
13664,583C,constructive algorithms;number theory,False,,False,
19968,584A,math,False,,False,
20121,584B,combinatorics,False,,False,
27941,585B,dfs and similar;graphs;shortest paths,True,dfs and similar,False,
32545,586A,implementation,False,,False,
33321,586B,implementation,False,,False,
39142,586E,number theory,False,,False,
46428,588B,math,False,,False,
52537,589J,,,,,
52900,589I,,,,,
65740,591A,implementation;math,False,,False,
65995,591C,constructive algorithms;implementation,False,,False,
73002,592A,implementation,False,,False,
73007,592C,math,False,,False,
73585,592B,math,False,,False,
79294,593A,brute force;implementation,False,,False,
92079,595A,constructive algorithms;implementation,False,,False,
92791,595C,games,False,,False,
92833,595E,brute force;greedy;implementation,False,,False,
99074,596B,greedy;implementation,False,,True,string suffix structures
99111,596A,geometry;implementation,False,,False,
105521,597B,dp;greedy;sortings,False,,False,
112199,598A,math,False,,False,
118431,599A,implementation,False,,False,
119336,599B,implementation,False,,False,
125226,601A,graphs;shortest paths,True,shortest paths,True,binary search
132357,602A,brute force;implementation,False,,False,
134628,602C,graphs,False,,True,binary search
145319,604B,binary search;greedy,True,binary search;greedy,False,
146515,604D,combinatorics;dsu;math;number theory,False,,False,
148905,604E,games;math,False,,False,
152784,605A,constructive algorithms;greedy,False,,False,
159033,606A,implementation,False,,False,
159238,606C,,False,,True,binary search
159240,606B,implementation,False,,False,
162836,606D,graphs,False,,False,
162839,606E,,False,,True,brute force;binary search;greedy
171693,608A,implementation;math,False,,True,dfs and similar;greedy
172201,608B,combinatorics;strings,False,,False,
178344,609C,implementation;math,False,,True,divide and conquer
184937,610A,combinatorics;math,False,,False,
188429,610D,constructive algorithms;data structures;geometry;two pointers,False,,False,
191418,611A,implementation,False,,False,
195257,611C,dp;implementation,False,,False,
199687,612A,brute force;implementation;strings,False,,True,dp
200165,612B,implementation;math,False,,False,
200167,612C,data structures;expression parsing;math,False,,False,
205014,613A,binary search;geometry;ternary search,False,,True,math
211035,614A,brute force;implementation,False,,False,
211368,614B,implementation;math,False,,False,
211375,614C,geometry,False,,False,
218888,615A,implementation,False,,False,
220199,615B,dp;graphs,False,,True,dfs and similar
220207,615E,binary search;implementation;math,False,,False,
224899,616B,games;greedy,False,,False,
230355,617A,math,False,,True,divide and conquer
231061,617B,combinatorics,False,,False,
236606,618B,constructive algorithms,False,,False,
236615,618C,geometry;implementation,False,,False,
243459,620A,implementation;math,False,,False,
246741,620C,greedy,True,greedy,True,divide and conquer
249795,621D,brute force;constructive algorithms;math,False,,False,
249798,621A,implementation,False,,False,
249868,621B,combinatorics;implementation,False,,False,
256380,622A,implementation;math,False,,True,binary search
256381,622B,implementation,False,,False,
262960,623A,constructive algorithms;graphs,False,,False,
269557,624B,greedy;sortings,False,,False,
269813,624A,math,False,,False,
270632,624C,constructive algorithms;dfs and similar;graphs,False,,True,strings
276001,625B,constructive algorithms;greedy;strings,True,greedy,True,dp
276004,625A,implementation;math,False,,False,
277555,625C,constructive algorithms;implementation,False,,False,
282647,626A,brute force;implementation,False,,False,
294765,628A,implementation;math,False,,False,
294959,628C,greedy;strings,True,strings,False,
301434,629A,brute force;combinatorics;constructive algorithms;implementation,False,,False,
301649,629B,brute force,False,,False,
308359,630R,games;math,False,,False,
308388,630G,combinatorics;math,False,,False,
308695,630I,combinatorics;math,False,,False,
308698,630M,geometry;math,False,,False,
308932,630K,math;number theory,False,,False,
314332,631A,brute force;implementation,False,,False,
315229,631B,constructive algorithms;implementation,False,,False,
320852,632C,sortings;strings,True,strings,False,
321399,632B,brute force;constructive algorithms,False,,True,string suffix structures
327651,633D,brute force;dp;hashing;implementation;math,False,,False,
328576,633B,brute force;constructive algorithms;math;number theory,False,,True,binary search
334269,634A,constructive algorithms;implementation,False,,False,
338632,635A,brute force;implementation,False,,False,
340310,635B,,False,,False,
350662,637C,brute force;constructive algorithms;implementation,False,,False,
350668,637A,constructive algorithms;implementation,False,,False,
357133,638B,dfs and similar;strings,False,,False,
357134,638A,constructive algorithms;math,False,,False,
364500,639B,constructive algorithms;graphs;trees,False,,False,
364523,639A,implementation,False,,False,
367351,639C,hashing;implementation;math,False,,False,
371210,641B,implementation,False,,False,
372104,641D,dp;implementation;math;probabilities,False,,False,
373818,641A,implementation,False,,False,
386756,644A,constructive algorithms,False,,False,
387527,644C,binary search;data structures;implementation;sortings;strings,False,,False,
393560,645C,binary search;two pointers,False,,False,
394276,645A,brute force;constructive algorithms;implementation,False,,True,strings
399990,646A,,,,,
401734,647B,,,,,
402452,648B,constructive algorithms;sortings,False,,True,divide and conquer
